year,geography,population,grouping
2013,University Place,31781,All
2014,University Place,32007,All
2015,University Place,32491,All
2016,University Place,33272,All
2017,University Place,33725,All
2018,University Place,34081,All
2019,University Place,34504,All
2020,University Place,34866,All
2021,University Place,35100,All
2022,University Place,35420,All
1990,Wilkeson,366,All
1991,Wilkeson,369,All
1992,Wilkeson,369,All
1993,Wilkeson,372,All
1994,Wilkeson,399,All
1995,Wilkeson,390,All
1996,Wilkeson,389,All
1997,Wilkeson,398,All
1998,Wilkeson,397,All
1999,Wilkeson,396,All
2000,Wilkeson,395,All
2001,Wilkeson,417,All
2002,Wilkeson,443,All
2003,Wilkeson,437,All
2004,Wilkeson,432,All
2005,Wilkeson,452,All
2006,Wilkeson,457,All
2007,Wilkeson,460,All
2008,Wilkeson,466,All
2009,Wilkeson,457,All
2010,Wilkeson,477,All
2011,Wilkeson,475,All
2012,Wilkeson,484,All
2013,Wilkeson,482,All
2014,Wilkeson,483,All
2015,Wilkeson,487,All
2016,Wilkeson,488,All
2017,Wilkeson,489,All
2018,Wilkeson,490,All
2019,Wilkeson,488,All
2020,Wilkeson,499,All
2021,Wilkeson,495,All
2022,Wilkeson,495,All
1990,Woodinville,NA,All
1991,Woodinville,NA,All
1992,Woodinville,NA,All
1993,Woodinville,7833,All
1994,Woodinville,7922,All
1995,Woodinville,7997,All
1996,Woodinville,8474,All
1997,Woodinville,8505,All
1998,Woodinville,8962,All
1999,Woodinville,8962,All
2000,Woodinville,9809,All
2001,Woodinville,9779,All
2002,Woodinville,9710,All
2003,Woodinville,9728,All
2004,Woodinville,9676,All
2005,Woodinville,9808,All
2006,Woodinville,9942,All
2007,Woodinville,9913,All
2008,Woodinville,10052,All
2009,Woodinville,10095,All
2010,Woodinville,10938,All
2011,Woodinville,10945,All
2012,Woodinville,10970,All
2013,Woodinville,11013,All
2014,Woodinville,11276,All
2015,Woodinville,11253,All
2016,Woodinville,11636,All
2017,Woodinville,11769,All
2018,Woodinville,11916,All
2019,Woodinville,12612,All
2020,Woodinville,13069,All
2021,Woodinville,13100,All
2022,Woodinville,13450,All
1990,Woodway,914,All
1991,Woodway,919,All
1992,Woodway,915,All
1993,Woodway,923,All
1994,Woodway,928,All
1995,Woodway,935,All
1996,Woodway,937,All
1997,Woodway,944,All
1998,Woodway,940,All
1999,Woodway,936,All
2000,Woodway,936,All
2001,Woodway,949,All
2002,Woodway,999,All
2003,Woodway,1077,All
2004,Woodway,1113,All
2005,Woodway,1191,All
2006,Woodway,1228,All
2007,Woodway,1251,All
2008,Woodway,1266,All
2009,Woodway,1283,All
2010,Woodway,1307,All
2011,Woodway,1299,All
2012,Woodway,1301,All
2013,Woodway,1291,All
2014,Woodway,1296,All
2015,Woodway,1317,All
2016,Woodway,1312,All
2017,Woodway,1311,All
2018,Woodway,1306,All
2019,Woodway,1314,All
2020,Woodway,1318,All
2021,Woodway,1325,All
2022,Woodway,1330,All
1990,Yarrow Point,957,All
1991,Yarrow Point,967,All
1992,Yarrow Point,967,All
1993,Yarrow Point,969,All
1994,Yarrow Point,974,All
1995,Yarrow Point,986,All
1996,Yarrow Point,994,All
1997,Yarrow Point,1004,All
1998,Yarrow Point,1006,All
1999,Yarrow Point,1008,All
2000,Yarrow Point,1008,All
2001,Yarrow Point,1011,All
2002,Yarrow Point,1012,All
2003,Yarrow Point,1002,All
2004,Yarrow Point,995,All
2005,Yarrow Point,963,All
2006,Yarrow Point,974,All
2007,Yarrow Point,978,All
2008,Yarrow Point,976,All
2009,Yarrow Point,971,All
2010,Yarrow Point,1001,All
2011,Yarrow Point,1013,All
2012,Yarrow Point,1080,All
2013,Yarrow Point,1043,All
2014,Yarrow Point,1053,All
2015,Yarrow Point,1068,All
2016,Yarrow Point,1106,All
2017,Yarrow Point,1113,All
2018,Yarrow Point,1146,All
2019,Yarrow Point,1133,All
2020,Yarrow Point,1134,All
2021,Yarrow Point,1125,All
2022,Yarrow Point,1125,All
